ID;Status;AnzeigeName;Title;Type-Id;PT/AT Version;ZulassungStatus;Zulassung Ab;Zulassung Bis;Abgekündigt Seit;Definiert in Release
ML-119564;final;Clientmodul KOM-LE;gemProdT_CM_KOMLE_PTV_1.3.1-0;gemProdT_CM_KOMLE;1.3.1-0;EOL (EndOfLife);2019-09-10;2020-03-03;2021-08-17;R3.1.2
ML-119565;final;Clientmodul KOM-LE;gemProdT_CM_KOMLE_PTV_1.3.2-0;gemProdT_CM_KOMLE;1.3.2-0;gültig (keine Neuzulassung);2020-03-03;2020-09-04;;R3.1.3
ML-119566;final;Clientmodul KOM-LE;gemProdT_CM_KOMLE_PTV_1.3.3-0;gemProdT_CM_KOMLE;1.3.3-0;gültig (keine Neuzulassung);2020-09-09;2021-04-16;;R3.1.3 Hotfix 3
ML-122054;final;Clientmodul KOM-LE;gemProdT_CM_KOMLE_PTV_1.3.4-0;gemProdT_CM_KOMLE;1.3.4-0;zulassungsfähig;2021-08-17;;;OPB Release 3.1.3-10
ML-119568;final;Clientmodul KOM-LE;gemProdT_CM_KOMLE_PTV_1.5.1-0;gemProdT_CM_KOMLE;1.5.1-0;EOL (EndOfLife);2021-03-05;2021-04-16;2021-04-20;R4.0.2
ML-119458;final;Clientmodul KOM-LE;gemProdT_CM_KOMLE_PTV_1.6.0-0;gemProdT_CM_KOMLE;1.6.0-0;gültig (keine Neuzulassung);2021-04-16;2021-08-17;;KIM 1.5.1
ML-123038;final;Clientmodul KOM-LE;gemProdT_CM_KOMLE_PTV_1.6.1-0;gemProdT_CM_KOMLE;1.6.1-0;zulassungsfähig;2021-08-17;;;KIM 1.5.1-3
ML-123324;geplant;Clientmodul KOM-LE;gemProdT_CM_KOMLE_PTV_1.6.1-1;gemProdT_CM_KOMLE;1.6.1-1;zulassungsfähig;2021-08-17;;;
ML-119470;final;Zulassungsobjekt COS;gemProdT_COS_PTV_4.3.0;gemProdT_COS;4.3.0;gültig (keine Neuzulassung);;;;R1.5.6
ML-119471;final;Zulassungsobjekt COS;gemProdT_COS_PTV_4.4.0-0;gemProdT_COS;4.4.0-0;gültig (keine Neuzulassung);2018-05-18;2019-05-15;;R2.1.2
ML-119397;final;Zulassungsobjekt COS;gemProdT_COS_PTV_4.5.0-0;gemProdT_COS;4.5.0-0;zulassungsfähig;2019-08-27;;;R3.1.1-1
ML-119396;final;Zulassungsobjekt COS;gemProdT_COS_PTV_4.6.0-0;gemProdT_COS;4.6.0-0;zulassungsfähig;2019-10-09;;;R3.1.2
ML-119493;final;CVC-Root – ECC;gemProdT_CVC_Root_ECC_PTV_1.3.0-3;gemProdT_CVC_Root_ECC;1.3.0-3;gültig (keine Neuzulassung);2018-05-18;2019-05-15;;R2.1.2
ML-119411;final;CVC-Root – ECC;gemProdT_CVC_Root_ECC_PTV_1.4.0-0;gemProdT_CVC_Root_ECC;1.4.0-0;zulassungsfähig;2019-05-15;;;R3.1.0
ML-119494;final;Trust Service Provider CVC;gemProdT_CVC_TSP_PTV_1.2.0;gemProdT_CVC_TSP;1.2.0;gültig (keine Neuzulassung);;;;R1.5.6
ML-119495;final;Trust Service Provider CVC;gemProdT_CVC_TSP_PTV_1.4.0-0;gemProdT_CVC_TSP;1.4.0-0;gültig (keine Neuzulassung);2017-04-26;2018-05-18;;R1.6.4
ML-119496;final;Trust Service Provider CVC;gemProdT_CVC_TSP_PTV_1.4.1-1;gemProdT_CVC_TSP;1.4.1-1;gültig (keine Neuzulassung);2018-12-18;2019-02-19;;R3.0.0
ML-119497;final;Trust Service Provider CVC;gemProdT_CVC_TSP_PTV_1.4.1-2;gemProdT_CVC_TSP;1.4.1-2;gültig (keine Neuzulassung);2019-02-19;2019-05-15;;R3.0.0-2
